id_pdv;adresse;ville;latitude;longitude;pop;nom_carbu;id_carbu;maj;prix_carbu
71000021;97 ROUTE DE LYON RN 6;MACON;46.285;4.808;R;Gazole;1;2026-08-28 00:01:00;2.149
71000021;97 ROUTE DE LYON RN 6;MACON;46.285;4.808;R;E85;3;2026-08-28 00:01:00;0.869
71000021;97 ROUTE DE LYON RN 6;MACON;46.285;4.808;R;GPLc;4;2026-08-28 00:01:00;0.995
71000021;97 ROUTE DE LYON RN 6;MACON;46.285;4.808;R;E10;5;2026-08-28 00:01:00;1.969
71000021;97 ROUTE DE LYON RN 6;MACON;46.285;4.808;R;SP98;6;2026-08-28 00:01:00;1.99
31410003;AUT A 64  AIRE DE GARONNE;Capens;43.336203735223;1.2457064998659;A;Gazole;1;2026-08-28 09:30:00;2.492
31410003;AUT A 64  AIRE DE GARONNE;Capens;43.336203735223;1.2457064998659;A;GPLc;4;2026-08-28 09:30:00;1.108
31410003;AUT A 64  AIRE DE GARONNE;Capens;43.336203735223;1.2457064998659;A;E10;5;2026-08-28 09:30:00;2.463
31410003;AUT A 64  AIRE DE GARONNE;Capens;43.336203735223;1.2457064998659;A;SP98;6;2026-08-28 09:30:00;2.613
7170001;rond point;VILLENEUVE-DE-BERG;44.57063;4.51054;R;Gazole;1;2026-08-28 08:59:56;2.247
7170001;rond point;VILLENEUVE-DE-BERG;44.57063;4.51054;R;E10;5;2026-08-28 08:59:56;1.99
7170001;rond point;VILLENEUVE-DE-BERG;44.57063;4.51054;R;SP98;6;2026-08-28 08:59:56;1.99
63800002;AVENUE DES DOMES;Cournon-d'Auvergne;45.731430070887;3.19576411256;R;Gazole;1;2026-08-28 09:00:21;2.223
35000019;21 avenue CHARLES TILLON;RENNES;48.125;-1.701;R;Gazole;1;2026-08-28 00:01:00;2.25
35000019;21 avenue CHARLES TILLON;RENNES;48.125;-1.701;R;E85;3;2026-08-28 00:01:00;0.836
35000019;21 avenue CHARLES TILLON;RENNES;48.125;-1.701;R;GPLc;4;2026-08-28 00:01:00;0.904
21000012;7 Rue de Cracovie;Dijon;47.34;5.067;R;Gazole;1;2026-08-28 08:38:10;2.205
21000012;7 Rue de Cracovie;Dijon;47.34;5.067;R;E10;5;2026-08-28 08:38:11;2.032
21000012;7 Rue de Cracovie;Dijon;47.34;5.067;R;SP98;6;2026-08-28 08:38:11;2.115
28600002;1 rue des Orvilles;Barjouville;48.41;1.463;R;Gazole;1;2026-08-28 08:20:24;2.119
28600002;1 rue des Orvilles;Barjouville;48.41;1.463;R;E10;5;2026-08-28 08:20:24;1.982
29120007;45 RUE VICTOR HUGO RN 785;Pont-l'Abbé;47.86938;-4.22187;R;Gazole;1;2026-08-28 00:01:00;2.147
29120007;45 RUE VICTOR HUGO RN 785;Pont-l'Abbé;47.86938;-4.22187;R;E85;3;2026-08-28 00:01:00;0.829
29120007;45 RUE VICTOR HUGO RN 785;Pont-l'Abbé;47.86938;-4.22187;R;E10;5;2026-08-28 00:01:00;1.975
93300009;62-64 AVENUE DE LA REPUBLIQUE;AUBERVILLIERS;48.909;2.386;R;Gazole;1;2026-08-28 00:01:00;2.25
93300009;62-64 AVENUE DE LA REPUBLIQUE;AUBERVILLIERS;48.909;2.386;R;E85;3;2026-08-28 00:01:00;0.894
93300009;62-64 AVENUE DE LA REPUBLIQUE;AUBERVILLIERS;48.909;2.386;R;E10;5;2026-08-28 00:01:00;1.99
37110002;rue gambetta;CHâTEAU-RENAULT;47.598;0.914;R;Gazole;1;2026-08-28 08:36:59;2.189
30220003;180 AVENUE DU GENERAL TROUCHAUD;Saint-Laurent-d'Aigouze;43.628;4.192;R;Gazole;1;2026-08-28 09:00:00;2.189
30220003;180 AVENUE DU GENERAL TROUCHAUD;Saint-Laurent-d'Aigouze;43.628;4.192;R;SP95;2;2026-08-28 09:00:00;2.089
30220003;180 AVENUE DU GENERAL TROUCHAUD;Saint-Laurent-d'Aigouze;43.628;4.192;R;E10;5;2026-08-28 09:00:00;2.059
30220003;180 AVENUE DU GENERAL TROUCHAUD;Saint-Laurent-d'Aigouze;43.628;4.192;R;SP98;6;2026-08-28 09:00:00;2.109
73600006;192 AV.DES THERMES SALINS;Salins-les-Thermes;45.47668353119101;6.527356862485499;R;Gazole;1;2026-08-28 00:01:00;2.21
73600006;192 AV.DES THERMES SALINS;Salins-les-Thermes;45.47668353119101;6.527356862485499;R;E85;3;2026-08-28 00:01:00;0.874
73600006;192 AV.DES THERMES SALINS;Salins-les-Thermes;45.47668353119101;6.527356862485499;R;E10;5;2026-08-28 00:01:00;1.99
73600006;192 AV.DES THERMES SALINS;Salins-les-Thermes;45.47668353119101;6.527356862485499;R;SP98;6;2026-08-28 00:01:00;1.99
42110006;RN 89;FEURS;45.743;4.208;R;Gazole;1;2026-08-28 00:01:00;2.25
42110006;RN 89;FEURS;45.743;4.208;R;GPLc;4;2026-08-28 00:01:00;0.999
42110006;RN 89;FEURS;45.743;4.208;R;E10;5;2026-08-28 00:01:00;1.99
42110006;RN 89;FEURS;45.743;4.208;R;SP98;6;2026-08-28 00:01:00;1.99
62156002;2 rue de Cherisy;Vis en Artois;50.2461085;2.9415206;R;Gazole;1;2026-08-28 09:29:45;2.149
62156002;2 rue de Cherisy;Vis en Artois;50.2461085;2.9415206;R;SP95;2;2026-08-28 09:29:45;2.159
62156002;2 rue de Cherisy;Vis en Artois;50.2461085;2.9415206;R;SP98;6;2026-08-28 09:29:46;2.199
71170001;1, AVENUE VAN DE WALLE;Chauffailles;46.204;4.336;R;SP95;2;2026-08-28 06:30:39;2.048
67800004;13 Route de la Wantzenau;HOENHEIM;48.6305554602;7.7639628648;R;SP98;6;2026-08-28 08:28:01;2.239
44800007;205 ROUTE DE VANNES;Saint-Herblain;47.2412179839;-1.59335907484;R;Gazole;1;2026-08-28 00:01:00;2.25
44800007;205 ROUTE DE VANNES;Saint-Herblain;47.2412179839;-1.59335907484;R;E10;5;2026-08-28 00:01:00;1.99
44800007;205 ROUTE DE VANNES;Saint-Herblain;47.2412179839;-1.59335907484;R;SP98;6;2026-08-28 00:01:00;1.99
72470004;RN 23 - LES FOSSES;CHAMPAGNE;48.016;0.328;R;Gazole;1;2026-08-28 00:01:00;2.149
72470004;RN 23 - LES FOSSES;CHAMPAGNE;48.016;0.328;R;E10;5;2026-08-28 00:01:00;1.99
18000018;BOULEVARD DE L'INDUSTRIE;BOURGES;47.072;2.395;R;E85;3;2026-08-28 00:01:00;0.852
76116003;566 Route de Gournay;Servaville-Salmonville;49.462;1.257;R;Gazole;1;2026-08-28 09:52:00;2.193
94000009;63 Avenue du Général de Gaulle;Créteil;48.790388298253;2.4451740423071002;R;Gazole;1;2026-08-28 00:01:00;2.177
94000009;63 Avenue du Général de Gaulle;Créteil;48.790388298253;2.4451740423071002;R;E10;5;2026-08-28 00:01:00;1.99
69005002;131 Rue Joliot-Curie;LYON;45.754;4.779;R;Gazole;1;2026-08-28 08:00:00;2.249
69005002;131 Rue Joliot-Curie;LYON;45.754;4.779;R;E10;5;2026-08-28 08:00:00;2.049
69005002;131 Rue Joliot-Curie;LYON;45.754;4.779;R;SP98;6;2026-08-28 08:00:00;2.129
30021001;1755 avenue Pierre MENDES FRANCE;NîMES;43.817;4.392;R;Gazole;1;2026-08-28 00:43:00;2.197
30021001;1755 avenue Pierre MENDES FRANCE;NîMES;43.817;4.392;R;SP95;2;2026-08-28 00:43:00;2.07
30021001;1755 avenue Pierre MENDES FRANCE;NîMES;43.817;4.392;R;GPLc;4;2026-08-28 00:43:00;1.056
30021001;1755 avenue Pierre MENDES FRANCE;NîMES;43.817;4.392;R;E10;5;2026-08-28 00:43:00;2.007
30021001;1755 avenue Pierre MENDES FRANCE;NîMES;43.817;4.392;R;SP98;6;2026-08-28 00:43:00;2.12
56400010;RN 165 - AIRE DE PLOUGOUMELEN;PLOUGOUMELEN;47.665;-2.903;R;Gazole;1;2026-08-28 00:01:00;2.247
56400010;RN 165 - AIRE DE PLOUGOUMELEN;PLOUGOUMELEN;47.665;-2.903;R;E85;3;2026-08-28 00:01:00;0.829
56400010;RN 165 - AIRE DE PLOUGOUMELEN;PLOUGOUMELEN;47.665;-2.903;R;GPLc;4;2026-08-28 00:01:00;0.924
56400010;RN 165 - AIRE DE PLOUGOUMELEN;PLOUGOUMELEN;47.665;-2.903;R;E10;5;2026-08-28 00:01:00;1.99
56400010;RN 165 - AIRE DE PLOUGOUMELEN;PLOUGOUMELEN;47.665;-2.903;R;SP98;6;2026-08-28 00:01:00;1.99
75017017;190 AVENUE DE CLICHY;PARIS;48.89345;2.3154;R;Gazole;1;2026-08-28 00:01:00;2.25
75017017;190 AVENUE DE CLICHY;PARIS;48.89345;2.3154;R;E10;5;2026-08-28 00:01:00;1.99
75017017;190 AVENUE DE CLICHY;PARIS;48.89345;2.3154;R;SP98;6;2026-08-28 00:01:00;1.99
13700010;92 AEROPORT BP 36;MARIGNANE;43.444;5.225;R;Gazole;1;2026-08-28 00:01:00;2.25
13700010;92 AEROPORT BP 36;MARIGNANE;43.444;5.225;R;E85;3;2026-08-28 00:01:00;0.885
13700010;92 AEROPORT BP 36;MARIGNANE;43.444;5.225;R;E10;5;2026-08-28 00:01:00;1.99
13700010;92 AEROPORT BP 36;MARIGNANE;43.444;5.225;R;SP98;6;2026-08-28 00:01:00;1.99
67120005;15 rue de la Gare;DUTTLENHEIM;48.527;7.568;R;Gazole;1;2026-08-28 09:40:00;2.32
67120005;15 rue de la Gare;DUTTLENHEIM;48.527;7.568;R;E10;5;2026-08-28 09:40:00;2.134
67120005;15 rue de la Gare;DUTTLENHEIM;48.527;7.568;R;SP98;6;2026-08-28 09:40:00;2.247
78400004;133 AV DU MARECHAL FOCH;CHATOU;48.892;2.144;R;Gazole;1;2026-08-28 00:01:00;2.25
78400004;133 AV DU MARECHAL FOCH;CHATOU;48.892;2.144;R;E85;3;2026-08-28 00:01:00;0.889
60490007;AUTOROUTE A1 - AIRE DE RESSONS EST;RESSONS SUR MATZ;49.5236;2.72292;A;Gazole;1;2026-08-28 00:01:00;2.25
60490007;AUTOROUTE A1 - AIRE DE RESSONS EST;RESSONS SUR MATZ;49.5236;2.72292;A;E85;3;2026-08-28 00:01:00;0.999
60490007;AUTOROUTE A1 - AIRE DE RESSONS EST;RESSONS SUR MATZ;49.5236;2.72292;A;GPLc;4;2026-08-28 00:01:00;1.069
60490007;AUTOROUTE A1 - AIRE DE RESSONS EST;RESSONS SUR MATZ;49.5236;2.72292;A;E10;5;2026-08-28 00:01:00;1.99
60490007;AUTOROUTE A1 - AIRE DE RESSONS EST;RESSONS SUR MATZ;49.5236;2.72292;A;SP98;6;2026-08-28 00:01:00;1.99
31270007;8 AVENUE DE FRANCAZAL;Villeneuve-Tolosane;43.524;1.343;R;Gazole;1;2026-08-28 00:01:00;2.168
31270007;8 AVENUE DE FRANCAZAL;Villeneuve-Tolosane;43.524;1.343;R;E85;3;2026-08-28 00:01:00;0.849
31270007;8 AVENUE DE FRANCAZAL;Villeneuve-Tolosane;43.524;1.343;R;E10;5;2026-08-28 00:01:00;1.984
